svgs2k	HandSvgs	hvgs	svgs
ENSG00000198938	ENSG00000123560	ENSG00000123560	ENSG00000198938
ENSG00000198888	ENSG00000251562	ENSG00000251562	ENSG00000198888
ENSG00000197971	ENSG00000256618	ENSG00000256618	ENSG00000197971
ENSG00000198763	ENSG00000164241	ENSG00000164241	ENSG00000198763
ENSG00000198899	ENSG00000197971	ENSG00000197971	ENSG00000198899
ENSG00000198712	ENSG00000154277	ENSG00000154277	ENSG00000198712
ENSG00000123560	ENSG00000282885	ENSG00000282885	ENSG00000123560
ENSG00000198804	ENSG00000091513	ENSG00000091513	ENSG00000198804
ENSG00000198886	ENSG00000087460	ENSG00000087460	ENSG00000198886
ENSG00000198840	ENSG00000109971	ENSG00000109971	ENSG00000198840
ENSG00000198727	ENSG00000118785	ENSG00000118785	ENSG00000198727
ENSG00000269028	ENSG00000109846	ENSG00000109846	ENSG00000269028
ENSG00000188536	ENSG00000143153	ENSG00000143153	ENSG00000188536
ENSG00000244734	ENSG00000244734	ENSG00000244734	ENSG00000244734
ENSG00000123454	ENSG00000168314	ENSG00000168314	ENSG00000123454
ENSG00000198786	ENSG00000188536	ENSG00000188536	ENSG00000198786
ENSG00000180176	ENSG00000131711	ENSG00000131711	ENSG00000180176
ENSG00000277586	ENSG00000130203	ENSG00000130203	ENSG00000277586
ENSG00000255823	ENSG00000137267	ENSG00000137267	ENSG00000255823
ENSG00000131095	ENSG00000006128	ENSG00000006128	ENSG00000131095
ENSG00000165646	ENSG00000277586	ENSG00000277586	ENSG00000165646
ENSG00000089199	ENSG00000160307	ENSG00000160307	ENSG00000089199
ENSG00000104722	ENSG00000123416	ENSG00000123416	ENSG00000104722
ENSG00000103546	ENSG00000171951	ENSG00000171951	ENSG00000103546
ENSG00000212907	ENSG00000132639	ENSG00000132639	ENSG00000212907
ENSG00000104435	ENSG00000125148	ENSG00000125148	ENSG00000104435
ENSG00000163399	ENSG00000250722	ENSG00000250722	ENSG00000163399
ENSG00000154645	ENSG00000173786	ENSG00000173786	ENSG00000154645
ENSG00000132639	ENSG00000107317	ENSG00000107317	ENSG00000132639
ENSG00000125462	ENSG00000189043	ENSG00000189043	ENSG00000125462
ENSG00000229117	ENSG00000269028	ENSG00000269028	ENSG00000229117
ENSG00000152661	ENSG00000244274	ENSG00000244274	ENSG00000152661
ENSG00000154277	ENSG00000105519	ENSG00000105519	ENSG00000154277
ENSG00000169715	ENSG00000105695	ENSG00000105695	ENSG00000169715
ENSG00000101439	ENSG00000104435	ENSG00000104435	ENSG00000101439
ENSG00000282885	ENSG00000167641	ENSG00000167641	ENSG00000282885
ENSG00000171885	ENSG00000166710	ENSG00000166710	ENSG00000171885
ENSG00000228253	ENSG00000123454	ENSG00000123454	ENSG00000228253
ENSG00000091513	ENSG00000189058	ENSG00000189058	ENSG00000091513
ENSG00000080824	ENSG00000171885	ENSG00000171885	ENSG00000080824
ENSG00000170027	ENSG00000169715	ENSG00000169715	ENSG00000170027
ENSG00000251562	ENSG00000168309	ENSG00000168309	ENSG00000251562
ENSG00000008283	ENSG00000135744	ENSG00000135744	ENSG00000008283
ENSG00000131711	ENSG00000126709	ENSG00000126709	ENSG00000131711
ENSG00000168314	ENSG00000110436	ENSG00000110436	ENSG00000168314
ENSG00000034510	ENSG00000080822	ENSG00000080822	ENSG00000034510
ENSG00000256618	ENSG00000101439	ENSG00000101439	ENSG00000256618
