ks	
6	0.141171766493056
7	0.148801244444444
8	0.140747095761381
9	0.131848445839874
10	0.138823547880691
11	0.140154604166667
12	0.132854622265925
13	0.141657366255144
14	0.131226553869411
15	0.143272657048167
16	0.132269951185967
17	0.14446966174017
18	0.135590479760402
19	0.14318744691358
20	0.13806037037037
21	0.130136765873016
22	0.131111388888889
23	0.121392599206349
24	0.14186511656746
25	0.131784865702479
26	0.131937063492063
27	0.143688169642857
28	0.133836101190476
29	0.134185198412698
30	0.12279814484127
